bedroom,bathrooms,area,furnishing,avalable_for,address,floor_number,facing,floor_type,gate_community,corner_pro,parking,wheelchairadption,petfacility,aggDur,noticeDur,lightbill,powerbackup,propertyage,no_room,pooja_room,study_room,others,servant_room,store_room,maintenance_amt,brok_amt,deposit_amt,mnt_amt,rent
1,1,0,Unfurnished,All,"Vadgaon Sheri, , Pune, Maharashtra",0,South,Not provided,No,No,1,None,None,0,0,1,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,25000,0,11000
2,2,0,Semifurnished,All,"Amar Cottage, Bhosale Nagar, , Pune, Maharashtra",0,No Direction,Granite,No,No,0,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,40000,0,20000
1,1,450,Semifurnished,Bachelors (Men Only),"Shivaji Nagar, , Pune, Maharashtra",1,No Direction,Not provided,No,No,0,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,0,0,30000,0,13000
2,2,900,Semifurnished,All,"Nandan Harsh Paradise Gold, Aundh, , Pune, Maharashtra",5,East,Vitrified,No,No,1,None,None,11,1,0,2,5 to 10 Year Old,1,0,0,0,0,0,0,22000,70000,0,22000
1,1,520,Unfurnished,Family Only,"Anandi Park, Manjari Budruk, , Pune, Maharashtra",4,North,Spartex,No,No,1,None,None,12,2,1,2,0 to 1 Year Old,0,0,0,1,0,0,0,0,30000,0,12000
1,1,480,Unfurnished,All,"Shubh Skypoint, Keshav Nagar, , Pune, Maharashtra",7,South-East,Vitrified,Yes,No,1,Yes,None,11,1,0,1,1 to 5 Year Old,0,0,0,1,0,0,Maintenance 1/ (/ month,13000,30000,1,13000
2,2,985,Semifurnished,All,"Nandan Inspera, Shankar Kalat Nagar, , Pune, Maharashtra",4,East,Marble,Yes,No,3,None,None,0,0,1,2,1 to 5 Year Old,0,0,0,1,0,0,0,1,3,0,14000
2,2,1010,Furnished,All,"Forest County, Kharadi, , Pune, Maharashtra",1,North-East,Wood,Yes,Yes,2,Yes,Yes,11,2,0,2,1 to 5 Year Old,1,0,0,0,0,0,0,35000,100000,0,35000
2,2,665,Semifurnished,Family Only,"Grace Homes, Keshav Nagar, , Pune, Maharashtra",1,East,Not provided,No,No,1,None,None,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,0,Maintenance 1500/ (/ month,0,25000,1500,13000
1,1,450,Unfurnished,All,"Sukhwani Palms, Wagholi, , Pune, Maharashtra",4,North-East,Ceramic,Yes,No,1,Yes,None,11,1,0,2,1 to 5 Year Old,1,0,0,0,0,0,0,0,25000,0,10000
